constructorResultsId,raceId,constructorId,points,status
16890,1121,9,44.0,\N
16891,1121,6,27.0,\N
16892,1121,131,16.0,\N
16893,1121,1,12.0,\N
16894,1121,117,3.0,\N
16895,1121,15,0.0,\N
16896,1121,210,0.0,\N
16897,1121,215,0.0,\N
16898,1121,3,0.0,\N
16899,1121,214,0.0,\N
16900,1122,9,43.0,\N
16901,1122,6,22.0,\N
16902,1122,1,16.0,\N
16903,1122,117,10.0,\N
16904,1122,131,10.0,\N
16905,1122,210,1.0,\N
16906,1122,3,0.0,\N
16907,1122,214,0.0,\N
16908,1122,215,0.0,\N
16909,1122,15,0.0,\N
16910,1123,6,44.0,\N
16911,1123,1,27.0,\N
16912,1123,9,10.0,\N
16913,1123,117,12.0,\N
16914,1123,215,6.0,\N
16915,1123,210,3.0,\N
16916,1123,3,0.0,\N
16917,1123,214,0.0,\N
16918,1123,15,0.0,\N
16919,1123,131,0.0,\N
16920,1124,9,44.0,\N
16921,1124,6,27.0,\N
16922,1124,1,14.0,\N
16923,1124,117,8.0,\N
16924,1124,131,8.0,\N
16925,1124,215,1.0,\N
16926,1124,210,0.0,\N
16927,1124,15,0.0,\N
16928,1124,214,0.0,\N
16929,1124,3,0.0,\N
16930,1125,9,54.0,\N
16931,1125,1,27.0,\N
16932,1125,6,31.0,\N
16933,1125,131,18.0,\N
16934,1125,117,7.0,\N
16935,1125,210,1.0,\N
16936,1125,214,0.0,\N
16937,1125,3,0.0,\N
16938,1125,15,0.0,\N
16939,1125,215,0.0,\N
16940,1126,1,28.0,\N
16941,1126,9,44.0,\N
16942,1126,6,36.0,\N
16943,1126,131,12.0,\N
16944,1126,215,12.0,\N
16945,1126,117,2.0,\N
16946,1126,214,1.0,\N
16947,1126,210,2.0,\N
16948,1126,15,0.0,\N
16949,1126,3,0.0,\N
16950,1127,9,29.0,\N
16951,1127,1,30.0,\N
16952,1127,6,25.0,\N
16953,1127,131,15.0,\N
16954,1127,117,2.0,\N
16955,1127,215,1.0,\N
16956,1127,210,0.0,\N
16957,1127,214,0.0,\N
16958,1127,15,0.0,\N
16959,1127,3,0.0,\N
16960,1128,6,40.0,\N
16961,1128,1,30.0,\N
16962,1128,131,17.0,\N
16963,1128,9,8.0,\N
16964,1128,215,4.0,\N
16965,1128,3,2.0,\N
16966,1128,214,1.0,\N
16967,1128,117,0.0,\N
16968,1128,15,0.0,\N
16969,1128,210,0.0,\N
16970,1129,9,25.0,\N
16971,1129,1,28.0,\N
16972,1129,131,28.0,\N
16973,1129,117,14.0,\N
16974,1129,215,4.0,\N
16975,1129,214,3.0,\N
16976,1129,210,0.0,\N
16977,1129,15,0.0,\N
16978,1129,6,0.0,\N
16979,1129,3,0.0,\N
16980,1130,9,29.0,\N
16981,1130,1,25.0,\N
16982,1130,131,27.0,\N
16983,1130,6,18.0,\N
16984,1130,214,3.0,\N
16985,1130,210,0.0,\N
16986,1130,117,0.0,\N
16987,1130,15,0.0,\N
16988,1130,215,0.0,\N
16989,1130,3,0.0,\N
16990,1131,131,45.0,\N
16991,1131,1,31.0,\N
16992,1131,6,21.0,\N
16993,1131,9,25.0,\N
16994,1131,210,12.0,\N
16995,1131,215,2.0,\N
16996,1131,214,1.0,\N
16997,1131,117,0.0,\N
16998,1131,3,0.0,\N
16999,1131,15,0.0,\N
17000,1132,131,25.0,\N
17001,1132,9,18.0,\N
17002,1132,1,27.0,\N
17003,1132,6,11.0,\N
17004,1132,210,8.0,\N
17005,1132,117,10.0,\N
17006,1132,3,2.0,\N
17007,1132,215,1.0,\N
17008,1132,15,0.0,\N
17009,1132,214,0.0,\N
17010,1133,1,43.0,\N
17011,1133,131,20.0,\N
17012,1133,6,20.0,\N
17013,1133,9,16.0,\N
17014,1133,215,2.0,\N
17015,1133,117,1.0,\N
17016,1133,210,0.0,\N
17017,1133,3,0.0,\N
17018,1133,15,0.0,\N
17019,1133,214,0.0,\N
